# Source of truth for master JSON "features" array. Run: node scripts/build-features-from-csv.mjs
# Columns: Date (YYYY-MM-DD), Time, Event, Activity, Description, Location, isFeatured, Image (card / index), EndTime (optional), ImageFlyer (optional wide hero for feature page detail)
Date,Time,Event,Activity,Description,Location,isFeatured,Image,EndTime,ImageFlyer
2026-11-07,7:00 PM,Karaoke,Karaoke,,Hall A,true,event-flyer/karaoke.png
2026-11-14,7:00 PM,Karaoke,Karaoke,,Hall A,true,event-flyer/karaoke.png
2026-11-21,7:00 PM,DJ Dance,DJ Karaoke,,Hall A,true,event-flyer/djdance.png
2026-11-28,7:00 PM,DJ Dance,DJ Karaoke,,Hall A,true,event-flyer/djdance.png
2026-12-05,7:00 PM,Karaoke,Karaoke,,Hall A,true,event-flyer/karaoke.png
2026-12-12,7:00 PM,DJ Dance,DJ Karaoke,,Hall A,true,event-flyer/djdance.png
2026-12-19,7:00 PM,Karaoke,Karaoke,,Hall A,true,event-flyer/karaoke.png
2026-12-26,7:00 PM,DJ Dance,DJ Karaoke,,Hall A,true,event-flyer/djdance.png
2027-01-06,7:00 PM,The Howlers,Dance,3 piece variety band that play anything from Elvis Presley to Amy Winehouse from Cumbia to Country,Hall A,true,event-flyer/howlers.png
2027-01-13,7:00 PM,Jonny Bird,Dance,LV entertainer writer musician producer and all around performer from Minnesota to Las Vegas and now the valley he knows how to entertain,Hall A,true,event-flyer/jonny-bird.jpg
2027-01-20,7:00 PM,Mayham,Comedy,Comedian for the Redneck Comedy Bus Bransons Famous Baldknobbers Show and nationally touring comedian,Hall A,true,event-flyer/mayham.jpg
2027-01-27,7:00 PM,3 Fools on 3 Stools,Music Performance,Three guitar players from the Island that perform all over the valley,Hall A,true,event-flyer/3fools.jpg
2027-02-03,7:00 PM,Arnold Davidson as Hank Williams Jr,Music Performance,A tribute show to Hank Williams Jr bringing high energy new musician to the valley,Hall A,true,event-flyer/arnold-hank.jpg
2027-02-10,7:00 PM,Julia Lane Cooper Mardi Gras Murder Mystery Party,Murder Mystery,A show full of live music hilarious dialogue improv intrigue accusations and all attendees at the heart of the show,Hall A,true,event-flyer/murder-mystery.jpg
2027-02-17,7:00 PM,Singing Ambassadors,Music Performance,A mens chorus made up of both Winter Texans and locals that love to sing donations go to scholarships for RGV students that want to pursue music,Hall A,true,event-flyer/singing-ambass.jpg
2027-02-24,7:00 PM,Lindley Creek Band,Music Performance,Began as a bluegrass family band from MO but expanding to perform a broad range of music,Hall A,true,event-flyer/lindley-creek.jpg
2027-03-03,7:00 PM,Rusty Rierson,Music Performance,A Kansas native that pays tribute to George Strait Don Williams and many others,Hall A,true,event-flyer/rusty-rierson.jpg
2027-03-10,7:00 PM,Players Studio,Theater,A non profit drama club that performs in McAllen and brings community theatre to the valley,Hall A,true,event-flyer/players-studio.jpg
2027-03-17,7:00 PM,St Patricks Day Party,Talent Show,Talent show with a focus on the green luck theme,Hall A,true,event-flyer/st-patty-party.jpg
2026-05-02,7:00 PM,Dance Party with DJ Dana,Dance,,Hall A,true,event-flyer/djdance.png
2026-05-09,7:00 PM,Dance Party with DJ Dana,Dance,,Hall A,true,event-flyer/djdance.png
2026-05-16,7:00 PM,Karaoke,Karaoke,,Hall A,true,event-flyer/karaoke.png,,
2026-05-17,1:00 PM,Ice Cream Social,3rd Sunday monthly,"Third Sunday each month May through October—free ice cream social in Hall B. Flavor of the week, cones and bowls, 1:00–1:30 PM. Kids and residents welcome; no fee or RSVP.",Hall B,true,event-flyer/icecream.png,1:30 PM,event-flyer/icecream-w.png
2026-05-23,7:00 PM,Karaoke,Karaoke,,Hall A,true,event-flyer/karaoke.png,,
2026-05-25,12:00 PM,Memorial Day,Community potluck & remembrance,"Join us this Memorial Day as we come together to honor the sacrifices of our Armed Forces and remember those who gave everything in service to our nation. Dinner begins at 12:00 PM and will feature classic hot dogs and authentic Iowa-style Maid-Rite sandwiches. This is a community pot luck, so guests are encouraged to bring their favorite sides and desserts to share. Enjoy good food, great company, and a moment of gratitude as we celebrate the spirit of remembrance and fellowship together.",Hall B,true,event-flyer/memorial-day.png,1:00 PM,event-flyer/memorial-day-w.png
2026-05-30,7:00 PM,This date available,Saturday evening,"No featured entertainment is scheduled for this Saturday. The hall and evening time may be available for a community or private event—contact the event coordinator to discuss options.",Hall A,true,event-flyer/bookme.png,,
2026-05-31,1:00 PM,Hall B reserved,Private event,"Hall B is reserved for a private event from 1:00–6:00 PM. Residents are asked to respect the reservation and keep foot traffic through Hall B to a minimum during that time. Halls A and C remain available for other activities.",Hall B,true,temp-img/shower2.png,6:00 PM
